12.5423 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
13.6859 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

13.6864 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe7c1a61400>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe7c1a613a0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fe7c1a61220>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fe7c1ac8fa0>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
13.6866 	EXP 	window1: mouseVisible = True
13.6867 	EXP 	window1: backgroundImage = ''
13.6867 	EXP 	window1: backgroundFit = 'none'
13.6902 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
13.6903 	EXP 	window1: recordFrameIntervals = False
13.7691 	EXP 	window1: recordFrameIntervals = True
14.6027 	WARNING 	Couldn't measure a consistent frame rate!
  - Is your graphics card set to sync to vertical blank?
  - Are you running other processes on your computer?

14.6033 	EXP 	window1: mouseVisible = False
14.6034 	EXP 	image_similarity_rating: status = STARTED
14.6037 	EXP 	window1: mouseVisible = True
14.6333 	EXP 	Created slide_img = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, image='default.png', interpolate=True, mask=None, maskParams=None, name='slide_img', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.7  , 0.952]), texRes=128.0, units='height', win=Window(...))
14.6334 	EXP 	window1: mouseVisible = True
14.6350 	EXP 	Created polygon = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='polygon', opacity=1.0, ori=0.0, pos=array([-0.35,  0.2 ]), size=array([0.41  , 0.3075]), units='height', vertices=ndarray(...), win=Window(...))
14.6351 	EXP 	window1: mouseVisible = True
14.6366 	EXP 	Created polygon_2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-2.0, draggable=False, fillColor=array([-1, -1, -1]), fillColorSpace='rgb', fillRGB=array([-1, -1, -1]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=1.0, name='polygon_2', opacity=1.0, ori=0.0, pos=array([0.35, 0.2 ]), size=array([0.41  , 0.3075]), units='height', vertices=ndarray(...), win=Window(...))
14.6367 	EXP 	window1: mouseVisible = True
